arm,seed,checkpoint,branch,n_frozen,cohort_status,auc_ce,task1_auc_ce,tasks2to10_auc_ce,heldout_ce,heldout_acc
LR,1,20,RANDOM,1,COHORT_TOO_SMALL,0.508952071249485,0.5026439707279206,0.5096529713074367,0.26383222341537477,0.9182651758193969
LR,1,20,SHALLOW,25,COHORT_TOO_SMALL,0.5448881427645683,0.5930155705213547,0.5395406507915921,0.27348698675632477,0.9153562307357788
LR,1,20,SHALLOW_MATCHED,25,COHORT_TOO_SMALL,0.5283790945053101,0.5471717205047607,0.5262910249498156,0.2728419482707977,0.9158094465732575
LR,1,100,NONE,0,EXISTS,0.5856875873208046,0.5890256332159043,0.5853166933324602,0.31873431205749514,0.9015387773513794
LR,1,100,TARGET,6,EXISTS,0.6098335158705711,0.6018435604572296,0.6107212886942758,0.331562739610672,0.8979974687099457
LR,1,100,MATCHED,6,EXISTS,0.6086602543830872,0.5899531841278076,0.6107388177447848,0.3281160831451416,0.8989038705825806
LR,1,100,RANDOM,6,EXISTS,0.5959747107744217,0.5917746002674102,0.5964413897196451,0.321093887090683,0.901285833120346
LR,1,100,SHALLOW,25,EXISTS,0.6478212037205695,0.6404959654808045,0.6486351190805435,0.35223670601844786,0.890588104724884
LR,1,100,SHALLOW_MATCHED,25,EXISTS,0.6323331260681153,0.6183801372051239,0.6338834581640032,0.3458743870258331,0.894287520647049
LR,2,20,NONE,0,COHORT_TOO_SMALL,0.5073577706217766,0.504392163157463,0.5076872825622559,0.26227749437093734,0.9175590217113495
LR,2,20,TARGET,2,COHORT_TOO_SMALL,0.4973968332648278,0.498000578045845,0.4973297505113814,0.2607665926218033,0.9183494985103607
LR,2,20,MATCHED,2,COHORT_TOO_SMALL,0.5092502112984658,0.5034060524702072,0.5098995622793834,0.2624554350972176,0.9180543899536133
LR,2,20,RANDOM,2,COHORT_TOO_SMALL,0.5044607275128364,0.5086815050840378,0.5039917522271474,0.2625722140073776,0.9177698075771332
LR,2,20,SHALLOW,25,COHORT_TOO_SMALL,0.5370767545461655,0.58045487678051,0.5322569631867938,0.2787773996591568,0.9129110515117645
LR,2,20,SHALLOW_MATCHED,25,COHORT_TOO_SMALL,0.5191108265221119,0.5471864249706269,0.515991315583388,0.27663150429725647,0.9141336381435394
LR,2,100,NONE,0,EXISTS,0.584879505109787,0.6171522129774094,0.5812936486800512,0.328918394446373,0.897059440612793
LR,2,100,TARGET,9,EXISTS,0.6013417944192885,0.6643948500156402,0.5943358993530272,0.3346821844577789,0.89625843167305
LR,2,100,MATCHED,9,EXISTS,0.6003110833048821,0.62584554708004,0.5974739206631978,0.3345370709896088,0.8968697428703308
LR,2,100,RANDOM,9,EXISTS,0.5971910576939582,0.6419570260047912,0.5922170612149769,0.3316697746515274,0.8972913146018981
LR,2,100,SHALLOW,25,EXISTS,0.6362118862032891,0.7172302211523056,0.6272098489867316,0.3518033385276794,0.8921690583229065
LR,2,100,SHALLOW_MATCHED,25,EXISTS,0.6152967689514159,0.6510582679510116,0.6113232690625721,0.3381448477506638,0.8948039650917053
